Open,High,Low,Close,Adj Close,Volume
138.5,138.6875,136.28125,136.703125,88.69639587402344,4533700
136.25,138.390625,136.078125,137.71875,89.35533905029297,6405600
138.1875,138.5,137.46875,138.5,89.86225128173828,4794100
139.25,139.984375,137.125,139.75,90.67326354980469,11802900
139.84375,140.25,139.40625,140.078125,90.88616943359375,2187500
140.5625,143.0,140.09375,141.25,91.646484375,7544800
142.25,142.9375,141.3125,141.625,91.88980102539062,9459000
142.4375,143.0,141.625,142.625,92.53860473632812,4491000
142.40625,142.96875,142.0,142.5,92.45750427246094,4832100
142.4375,143.0,141.5,142.46875,92.43726348876953,4155400
142.84375,142.84375,140.375,141.21875,91.62621307373047,5918000
140.75,142.4375,140.0,141.96875,92.11286163330078,4459700
142.46875,142.875,141.25,141.4375,91.76815795898438,1693900
140.875,141.921875,140.4375,140.9375,91.4437255859375,7348600
140.75,142.3125,139.0,139.28125,90.36906433105469,7682000
139.3125,140.5,139.0,140.40625,91.09903717041016,6980200
140.625,141.375,140.375,141.25,91.646484375,6698300
143.03125,145.34375,143.03125,143.84375,93.32937622070312,10045400
143.53125,143.71875,142.25,142.78125,92.6400146484375,3138900
143.28125,143.3125,141.375,141.625,91.88980102539062,10714200
141.34375,142.0625,140.5,140.71875,91.30181121826172,4611400
141.8125,142.21875,139.375,141.40625,91.74788665771484,6474700
142.28125,142.8125,140.875,141.875,92.05200958251953,5127300
141.4375,142.71875,141.28125,142.125,92.21421813964844,4210800
141.625,142.484375,140.625,140.75,91.32207489013672,5739000
140.375,142.203125,140.03125,141.5,91.80868530273438,6879100
142.1875,142.65625,141.15625,142.125,92.21421813964844,5854900
143.0,143.3125,142.0625,142.6875,92.80641174316406,4775400
142.5625,143.1875,141.09375,141.65625,92.1356430053711,4608700
141.59375,144.0625,141.34375,143.8125,93.53813171386719,7981300
143.625,144.1875,142.96875,144.1875,93.78202819824219,5377500
145.015625,146.484375,145.0,146.484375,95.27596282958984,5721700
146.5,146.78125,145.0625,146.28125,95.14384460449219,2691000
145.875,146.5,145.484375,146.1875,95.08289337158203,4084500
146.3125,146.8125,145.3125,146.8125,95.4894027709961,3001000
147.125,147.5625,146.1875,146.640625,95.3775863647461,3641300
146.84375,147.5,146.25,146.875,95.53001403808594,3172700
148.25,148.25,143.875,145.4375,94.5950698852539,8164300
143.53125,144.0625,139.640625,139.75,90.89580535888672,8089800
139.9375,141.53125,137.25,140.0,91.0584487915039,12177900
139.625,141.5,137.75,137.75,89.59496307373047,6227200
140.3125,145.75,140.0625,145.75,94.79830169677734,8066500
146.25,146.90625,145.03125,146.25,95.12347412109375,5741700
145.8125,146.09375,143.5,144.5,93.9852523803711,7503700
144.59375,144.59375,142.875,143.0625,93.05033111572266,6907700
144.46875,145.75,143.28125,145.0,94.31053924560547,5158300
146.53125,147.46875,145.96875,146.96875,95.59102630615234,7437300
145.34375,146.625,145.1875,145.8125,94.83897399902344,6488500
145.3125,147.0,145.0,147.0,95.61134338378906,6157900
146.96875,146.96875,143.8125,144.75,94.14788818359375,5800100
145.5,145.5,144.0625,144.4375,93.94465637207031,6244800
145.65625,145.84375,139.40625,140.34375,91.28203582763672,7896900
140.515625,141.9375,139.0,141.9375,92.31861114501953,9942500
141.0,141.546875,140.09375,140.8125,91.58689880371094,5158100
141.84375,142.21875,138.125,140.25,91.22103881835938,10922700
139.4375,140.0625,135.53125,135.875,88.37543487548828,11916200
135.8125,139.671875,135.0,139.5625,90.77386474609375,10768700
139.75,141.6875,138.53125,140.9375,91.6681900024414,8419900
141.28125,142.25,140.375,141.0625,91.7494888305664,6205900
140.875,143.25,140.0,143.1875,93.13162994384766,7997500
143.1875,144.0,142.125,142.59375,92.74542236328125,4925400
142.5625,142.78125,141.4375,142.375,92.60315704345703,5845800
143.96875,144.5625,143.625,144.3125,93.86336517333984,4936400
144.46875,144.46875,141.265625,141.28125,91.89177703857422,8511500
141.625,142.5625,140.875,141.5625,92.07469177246094,6690600
141.84375,141.9375,138.03125,138.6875,90.20478820800781,9849800
139.78125,139.78125,138.3125,139.5,90.73323822021484,8528800
139.25,141.21875,137.796875,141.078125,91.75961303710938,11078300
140.375,140.9375,138.796875,139.0,90.40801239013672,8845400
140.4375,140.4375,138.21875,138.28125,89.94055938720703,7584200
138.875,138.875,134.625,135.3125,88.00956726074219,9409200
135.1875,136.34375,133.53125,134.96875,87.78600311279297,16415400
135.625,137.46875,134.5,136.5625,88.82262420654297,12119000
136.6875,137.03125,133.09375,133.8125,87.03394317626953,17375000
135.1875,136.71875,133.125,133.328125,86.71893310546875,10559900
133.375,136.6875,132.71875,136.125,88.53804016113281,13397800
136.0625,137.4375,135.75,137.4375,89.39176177978516,8242500
137.625,139.0,137.21875,138.4375,90.0421371459961,6868000
138.6875,139.125,137.34375,138.53125,90.10314178466797,7600200
140.4375,141.71875,139.71875,141.125,91.79010772705078,12770300
140.8125,141.34375,138.75,139.75,90.89580535888672,11967100
140.0,140.15625,135.21875,137.046875,89.13764190673828,20062000
136.46875,137.84375,135.03125,136.875,89.0258560180664,11808500
137.25,140.875,136.125,140.875,91.62752532958984,5500900
140.1875,142.0,139.53125,140.125,91.13972473144531,7924600
136.6875,140.46875,135.6875,138.59375,90.14375305175781,10540500
139.28125,140.09375,136.15625,136.625,88.86328125,8263900
136.875,140.4375,136.0625,139.8125,90.93647003173828,10300800
141.625,146.84375,140.875,146.34375,95.18452453613281,25601400
145.8125,148.0,145.4375,146.9375,95.81356811523438,10272900
146.875,147.34375,144.78125,146.1875,95.32454681396484,12502300
145.53125,149.75,144.5,149.1875,97.28075408935547,13612600
149.5625,150.84375,148.6875,150.09375,97.8716812133789,8260000
149.15625,153.46875,149.15625,152.65625,99.5426254272461,11654500
152.875,155.75,151.71875,153.5625,100.13359069824219,11462900
153.375,153.78125,151.8125,151.9375,99.07394409179688,8798600
151.25,152.984375,150.59375,151.0625,98.50337219238281,6334400
151.5625,152.484375,149.65625,151.21875,98.60527038574219,6747500
150.15625,151.921875,147.125,148.6875,96.9547348022461,9491900
149.625,152.3125,148.4375,150.375,98.05506896972656,9249100
150.125,151.25,148.6875,151.25,98.62562561035156,8508200
151.75,153.0,141.390625,150.125,97.89207458496094,19585500
147.875,150.8125,147.625,149.1875,97.28075408935547,8387200
150.25,151.6875,149.0,150.484375,98.12637329101562,6378500
151.5625,152.125,150.5,151.4375,98.74787902832031,6023600
151.75,153.109375,150.3125,150.84375,98.3607406616211,9624200
150.0,151.625,148.375,150.40625,98.07549285888672,9006400
150.375,151.15625,146.15625,146.28125,95.38566589355469,10779200
147.46875,148.15625,143.78125,144.25,94.0611572265625,12225800
142.625,142.8125,133.5,136.0,88.68155670166016,29604000
135.1875,140.75,134.6875,140.75,91.77892303466797,23918200
140.5625,144.46875,139.78125,144.46875,94.20376586914062,11069200
144.5,145.125,142.53125,143.125,93.32756805419922,6553700
143.5625,143.9375,142.375,143.8125,93.77588653564453,8537600
141.5,143.3125,140.5,142.25,92.75701141357422,12893100
144.625,148.15625,144.4375,148.15625,96.60829162597656,14102000
147.96875,148.75,146.0,146.484375,95.51811218261719,7711100
143.0,147.34375,143.0,146.0,95.20226287841797,15595300
147.0,147.859375,145.0625,145.09375,94.61134338378906,8743400
146.5625,148.484375,145.84375,147.0625,95.89506530761719,7328300
145.5,147.125,144.125,144.125,93.97967529296875,9411900
144.0,144.0,139.78125,140.75,91.77892303466797,12630700
142.0,142.359375,140.75,141.8125,92.47175598144531,5963600
141.0625,144.0,140.9375,143.53125,93.59246826171875,7862400
142.75,143.375,141.84375,142.453125,92.88944244384766,5064100
